Sample   ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
        0,0.778     ,0.99      ,0.204     ,0.0358    ,         0
        1,0.794     ,0.60      ,0.281     ,0.0434    ,     10000
        2,0.524     ,0.99      ,0.461     ,0.0315    ,     10000
        3,0.683     ,-0.79     ,0.269     ,0.0456    ,     10000
        4,0.714     ,-0.40     ,0.153     ,0.0413    ,     10000
        5,0.857     ,2.58      ,0.217     ,0.0467    ,     10000
        6,0.905     ,2.38      ,0.191     ,0.0413    ,     10000
        7,0.841     ,3.97      ,0.153     ,0.0445    ,     10000
        8,0.746     ,2.98      ,0.281     ,0.0424    ,     10000
        9,0.937     ,-1.79     ,0.153     ,0.0358    ,     10000
       10,0.762     ,-0.40     ,0.397     ,0.0434    ,     10000
       11,0.810     ,-0.99     ,0.294     ,0.0434    ,     10000
       12,0.508     ,0.99      ,0.307     ,0.0347    ,     10000
       13,0.683     ,-2.18     ,0.371     ,0.0282    ,     10000
       14,0.698     ,0.20      ,0.397     ,0.0402    ,     10000
       15,0.968     ,1.39      ,0.371     ,0.0445    ,     10000
       16,0.810     ,-0.99     ,0.307     ,0.0543    ,     10000
       17,0.524     ,0.99      ,0.384     ,0.0478    ,     10000
       18,0.492     ,-2.98     ,0.513     ,0.0424    ,     10000
       19,0.429     ,-2.78     ,0.230     ,0.0424    ,     10000
       20,0.714     ,-1.98     ,0.114     ,0.0456    ,     10000
       21,0.619     ,0.00      ,0.384     ,0.0380    ,     10000
       22,0.873     ,3.57      ,0.526     ,0.0445    ,     10000
       23,0.810     ,-0.60     ,0.320     ,0.0598    ,     10000
       24,0.873     ,2.78      ,0.410     ,0.0576    ,     10000
       25,0.762     ,2.58      ,0.179     ,0.0489    ,     10000
       26,0.460     ,0.20      ,0.397     ,0.0424    ,     10000
       27,0.778     ,-0.60     ,0.179     ,0.0413    ,     10000
       28,0.841     ,1.39      ,0.307     ,0.0380    ,     10000
       29,0.762     ,1.39      ,0.153     ,0.0358    ,     10000
       30,0.905     ,-0.79     ,0.410     ,0.0543    ,     10000
       31,0.921     ,0.20      ,0.256     ,0.0511    ,     10000
       32,0.667     ,0.40      ,0.191     ,0.0598    ,     10000
       33,0.810     ,0.99      ,0.114     ,0.0576    ,     10000
       34,0.429     ,-2.58     ,0.243     ,0.0424    ,     10000
       35,0.698     ,-0.99     ,0.333     ,0.0456    ,     10000
       36,0.714     ,0.79      ,0.256     ,0.0445    ,     10000
       37,0.651     ,0.20      ,0.320     ,0.0369    ,     10000
       38,0.730     ,0.20      ,0.359     ,0.0619    ,     10000
       39,0.921     ,-1.39     ,0.101     ,0.0674    ,     10000
       40,0.857     ,0.60      ,0.359     ,0.0543    ,     10000
       41,0.556     ,1.98      ,0.191     ,0.0467    ,     10000
       42,0.714     ,1.59      ,0.281     ,0.0358    ,     10000
       43,0.762     ,-2.38     ,0.230     ,0.0500    ,     10000
       44,0.556     ,-0.99     ,0.333     ,0.0163    ,     10000
       45,0.651     ,-0.99     ,0.063     ,0.0369    ,     10000
       46,0.571     ,-1.59     ,0.359     ,0.0511    ,     10000
       47,0.810     ,-1.79     ,0.230     ,0.0532    ,     10000
       48,0.667     ,-1.79     ,0.294     ,0.0434    ,     10000
       49,0.810     ,4.96      ,0.410     ,0.0576    ,     10000
       50,0.841     ,0.79      ,0.423     ,0.0674    ,     10000
       51,0.556     ,-3.17     ,0.320     ,0.0445    ,     10000
       52,0.492     ,-0.40     ,0.436     ,0.0271    ,     10000
       53,0.571     ,1.39      ,0.294     ,0.0467    ,     10000
       54,0.762     ,-0.60     ,0.461     ,0.0228    ,     10000
       55,0.921     ,-0.79     ,0.320     ,0.0434    ,     10000
       56,0.810     ,-0.79     ,0.153     ,0.0358    ,     10000
       57,0.635     ,2.58      ,0.371     ,0.0619    ,     10000
       58,0.873     ,2.38      ,0.269     ,0.0456    ,     10000
       59,0.778     ,-2.38     ,0.384     ,0.0413    ,     10000
       60,0.810     ,-0.99     ,0.346     ,0.0369    ,     10000
       61,0.730     ,0.40      ,0.359     ,0.0532    ,     10000
       62,0.619     ,0.79      ,0.294     ,0.0413    ,     10000
       63,0.921     ,-1.39     ,0.089     ,0.0685    ,     10000
       64,0.762     ,-2.98     ,0.243     ,0.0358    ,     10000
       65,0.683     ,3.97      ,0.243     ,0.0739    ,     10000
       66,0.810     ,0.60      ,0.320     ,0.0511    ,     10000
       67,0.762     ,-2.38     ,0.256     ,0.0304    ,     10000
       68,0.667     ,-3.57     ,0.217     ,0.0282    ,     10000
       69,0.635     ,-0.79     ,0.063     ,0.0391    ,     10000
       70,0.825     ,0.40      ,0.449     ,0.0358    ,     10000
       71,0.524     ,0.00      ,0.243     ,0.0598    ,     10000
       72,1.000     ,0.79      ,0.140     ,0.0326    ,     10000
       73,0.905     ,0.99      ,0.436     ,0.0445    ,     10000
       74,0.683     ,0.60      ,0.384     ,0.0500    ,     10000
       75,0.794     ,0.99      ,0.307     ,0.0500    ,     10000
       76,0.778     ,-2.58     ,0.410     ,0.0228    ,     10000
       77,0.619     ,-1.19     ,0.410     ,0.0206    ,     10000
       78,0.794     ,-0.99     ,0.294     ,0.0424    ,     10000
       79,0.762     ,-0.20     ,0.320     ,0.0173    ,     10000
       80,0.841     ,0.99      ,0.230     ,0.0521    ,     10000
       81,0.667     ,1.79      ,0.371     ,0.0554    ,     10000
       82,1.079     ,3.37      ,0.449     ,0.0587    ,     10000
       83,0.778     ,1.98      ,0.281     ,0.0424    ,     10000
       84,0.778     ,-2.98     ,0.281     ,0.0293    ,     10000
       85,0.857     ,0.00      ,0.191     ,0.0250    ,     10000
       86,0.651     ,0.20      ,0.281     ,0.0358    ,     10000
       87,0.810     ,1.98      ,0.191     ,0.0369    ,     10000
       88,0.651     ,-0.99     ,0.256     ,0.0347    ,     10000
       89,1.032     ,-0.99     ,0.384     ,0.0576    ,     10000
       90,0.778     ,0.79      ,0.204     ,0.0489    ,     10000
       91,0.778     ,3.17      ,0.333     ,0.0576    ,     10000
       92,0.603     ,0.79      ,0.269     ,0.0347    ,     10000
       93,0.556     ,-0.79     ,0.294     ,0.0402    ,     10000
       94,0.556     ,1.39      ,0.384     ,0.0424    ,     10000
       95,0.524     ,-2.18     ,0.204     ,0.0239    ,     10000
       96,0.762     ,-2.58     ,0.410     ,0.0543    ,     10000
       97,0.667     ,4.17      ,0.217     ,0.0554    ,     10000
       98,0.937     ,0.79      ,0.359     ,0.0674    ,     10000
       99,0.778     ,1.19      ,0.179     ,0.0358    ,     10000
      100,0.794     ,1.19      ,0.230     ,0.0456    ,     10000
      101,0.540     ,0.99      ,0.423     ,0.0304    ,     10000
      102,0.667     ,-0.20     ,0.243     ,0.0489    ,     10000
      103,0.698     ,0.00      ,0.101     ,0.0413    ,     10000
      104,0.873     ,2.78      ,0.179     ,0.0467    ,     10000
      105,0.937     ,2.78      ,0.140     ,0.0413    ,     10000
      106,0.873     ,4.37      ,0.140     ,0.0456    ,     10000
      107,0.714     ,3.17      ,0.243     ,0.0424    ,     10000
      108,0.952     ,-1.39     ,0.114     ,0.0369    ,     10000
      109,0.746     ,0.20      ,0.359     ,0.0456    ,     10000
      110,0.762     ,-0.79     ,0.269     ,0.0445    ,     10000
      111,0.492     ,1.39      ,0.243     ,0.0347    ,     10000
      112,0.698     ,-1.59     ,0.346     ,0.0293    ,     10000
      113,0.714     ,0.20      ,0.371     ,0.0391    ,     10000
      114,0.984     ,1.39      ,0.333     ,0.0467    ,     10000
      115,0.794     ,-0.60     ,0.294     ,0.0543    ,     10000
      116,0.524     ,1.59      ,0.359     ,0.0489    ,     10000
      117,0.492     ,-2.78     ,0.487     ,0.0445    ,     10000
      118,0.444     ,-2.18     ,0.204     ,0.0434    ,     10000
      119,0.683     ,-1.79     ,0.050     ,0.0478    ,     10000
      120,0.603     ,-0.20     ,0.359     ,0.0402    ,     10000
      121,0.873     ,3.57      ,0.487     ,0.0434    ,     10000
      122,0.794     ,0.00      ,0.281     ,0.0630    ,     10000
      123,0.873     ,2.78      ,0.359     ,0.0576    ,     10000
      124,0.762     ,2.58      ,0.114     ,0.0511    ,     10000
      125,0.476     ,0.40      ,0.371     ,0.0434    ,     10000
      126,0.778     ,-0.40     ,0.127     ,0.0413    ,     10000
      127,0.857     ,1.19      ,0.269     ,0.0402    ,     10000
      128,0.762     ,1.79      ,0.114     ,0.0380    ,     10000
      129,0.889     ,-0.60     ,0.384     ,0.0554    ,     10000
      130,0.921     ,0.40      ,0.204     ,0.0532    ,     10000
      131,0.651     ,0.79      ,0.153     ,0.0598    ,     10000
      132,0.825     ,0.99      ,0.089     ,0.0598    ,     10000
      133,0.413     ,-2.18     ,0.191     ,0.0445    ,     10000
      134,0.698     ,-0.60     ,0.307     ,0.0467    ,     10000
      135,0.714     ,1.19      ,0.204     ,0.0456    ,     10000
      136,0.651     ,0.20      ,0.269     ,0.0402    ,     10000
      137,0.730     ,0.40      ,0.320     ,0.0630    ,     10000
      138,0.921     ,-1.39     ,0.089     ,0.0695    ,     10000
      139,0.873     ,0.60      ,0.320     ,0.0554    ,     10000
      140,0.524     ,2.58      ,0.153     ,0.0489    ,     10000
      141,0.730     ,1.79      ,0.230     ,0.0380    ,     10000
      142,0.746     ,-2.18     ,0.191     ,0.0532    ,     10000
      143,0.540     ,-0.79     ,0.294     ,0.0184    ,     10000
      144,0.667     ,-0.99     ,0.011     ,0.0391    ,     10000
      145,0.587     ,-0.99     ,0.320     ,0.0532    ,     10000
      146,0.841     ,-1.79     ,0.204     ,0.0543    ,     10000
      147,0.667     ,-1.19     ,0.230     ,0.0445    ,     10000
      148,0.841     ,5.16      ,0.384     ,0.0619    ,     10000
      149,0.825     ,0.99      ,0.410     ,0.0695    ,     10000
      150,0.556     ,-3.17     ,0.281     ,0.0467    ,     10000
      151,0.492     ,-0.20     ,0.397     ,0.0293    ,     10000
      152,0.571     ,1.79      ,0.294     ,0.0500    ,     10000
      153,0.746     ,0.00      ,0.436     ,0.0271    ,     10000
      154,0.921     ,-0.79     ,0.294     ,0.0445    ,     10000
      155,0.810     ,-0.60     ,0.114     ,0.0391    ,     10000
      156,0.603     ,2.78      ,0.333     ,0.0619    ,     10000
      157,0.873     ,2.38      ,0.243     ,0.0456    ,     10000
      158,0.778     ,-1.98     ,0.371     ,0.0424    ,     10000
      159,0.794     ,-0.60     ,0.320     ,0.0380    ,     10000
      160,0.730     ,0.60      ,0.333     ,0.0532    ,     10000
